,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[1037],0.495,0.021,0.453,0.536,0.0,0.0,10819.0,9032.0,1.0
foul_prob[1038],0.349,0.016,0.319,0.382,0.0,0.0,10597.0,8036.0,1.0
foul_prob[1039],0.474,0.024,0.426,0.52,0.0,0.0,9767.0,8484.0,1.0
foul_prob[1040],0.367,0.018,0.334,0.403,0.0,0.0,10930.0,8339.0,1.0
foul_prob[1041],0.466,0.018,0.433,0.501,0.0,0.0,10286.0,8022.0,1.0
foul_prob[1042],0.446,0.021,0.406,0.488,0.0,0.0,10727.0,8871.0,1.0
foul_prob[1043],0.403,0.012,0.38,0.427,0.0,0.0,10001.0,8734.0,1.0
foul_prob[1044],0.596,0.025,0.546,0.645,0.0,0.0,10740.0,7551.0,1.0
foul_prob[1045],0.51,0.02,0.471,0.547,0.0,0.0,10017.0,8970.0,1.0
foul_prob[1046],0.46,0.014,0.434,0.487,0.0,0.0,12017.0,9146.0,1.0
foul_prob[1047],0.346,0.016,0.316,0.379,0.0,0.0,11394.0,8332.0,1.0
foul_prob[1048],0.324,0.023,0.279,0.369,0.0,0.0,10362.0,8728.0,1.0
foul_prob[1049],0.37,0.021,0.329,0.412,0.0,0.0,10690.0,9062.0,1.0
foul_prob[1050],0.313,0.025,0.264,0.361,0.0,0.0,10835.0,8222.0,1.0
foul_prob[1051],0.427,0.019,0.392,0.465,0.0,0.0,10009.0,8302.0,1.0
foul_prob[1052],0.501,0.021,0.46,0.541,0.0,0.0,10245.0,8214.0,1.0
foul_prob[1053],0.448,0.021,0.408,0.489,0.0,0.0,11561.0,8350.0,1.0
foul_prob[1054],0.36,0.018,0.326,0.394,0.0,0.0,10410.0,7737.0,1.0
foul_prob[1055],0.438,0.014,0.41,0.465,0.0,0.0,11489.0,8760.0,1.0
foul_prob[1056],0.37,0.016,0.339,0.4,0.0,0.0,10804.0,8727.0,1.0
foul_prob[1057],0.359,0.018,0.323,0.393,0.0,0.0,10624.0,8169.0,1.0
foul_prob[1058],0.377,0.017,0.342,0.411,0.0,0.0,11506.0,9670.0,1.0
foul_prob[1059],0.437,0.024,0.387,0.484,0.0,0.0,11882.0,8992.0,1.0
foul_prob[1060],0.49,0.015,0.461,0.52,0.0,0.0,10574.0,9197.0,1.0
foul_prob[1061],0.416,0.025,0.367,0.468,0.0,0.0,11016.0,9237.0,1.0
foul_prob[1062],0.419,0.021,0.377,0.46,0.0,0.0,10220.0,8479.0,1.0
foul_prob[1063],0.356,0.017,0.324,0.389,0.0,0.0,10979.0,9175.0,1.0
foul_prob[1064],0.493,0.018,0.458,0.528,0.0,0.0,10851.0,9150.0,1.0
foul_prob[1065],0.471,0.016,0.44,0.501,0.0,0.0,11262.0,9430.0,1.0
foul_prob[1066],0.438,0.014,0.41,0.465,0.0,0.0,10679.0,8195.0,1.0
foul_prob[1067],0.425,0.021,0.384,0.467,0.0,0.0,10084.0,9168.0,1.0
