,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_bat_speed,0.062,0.063,-0.066,0.182,0.001,0.001,9909.0,7176.0,1.0
beta_swing_length,-0.285,0.057,-0.396,-0.176,0.001,0.0,11009.0,7681.0,1.0
beta_release_speed,0.094,0.049,0.002,0.191,0.0,0.0,10505.0,7563.0,1.0
beta_inning,-0.038,0.008,-0.054,-0.022,0.0,0.0,10916.0,8025.0,1.0
beta_outs_when_up,-0.005,0.032,-0.069,0.055,0.0,0.0,11884.0,8271.0,1.0
beta_balls,-0.048,0.025,-0.096,0.001,0.0,0.0,10901.0,6976.0,1.0
beta_inning_bat_speed,-0.014,0.011,-0.035,0.007,0.0,0.0,10245.0,7874.0,1.0
beta_outs_release_speed,-0.004,0.035,-0.072,0.066,0.0,0.0,9984.0,7009.0,1.0
beta_balls_swing_length,0.073,0.03,0.012,0.13,0.0,0.0,10977.0,7068.0,1.0
alpha_release_speed,0.014,0.007,0.0,0.029,0.0,0.0,13866.0,7284.0,1.0
alpha_bat_speed,0.006,0.001,0.003,0.008,0.0,0.0,12600.0,7375.0,1.0
alpha_swing_length,0.01,1.005,-1.891,2.012,0.009,0.01,12672.0,7193.0,1.0
foul_prob[0],0.34,0.015,0.312,0.371,0.0,0.0,10535.0,8801.0,1.0
foul_prob[1],0.466,0.016,0.434,0.495,0.0,0.0,11717.0,8991.0,1.0
foul_prob[2],0.291,0.04,0.213,0.368,0.0,0.0,10502.0,9651.0,1.0
foul_prob[3],0.392,0.023,0.35,0.437,0.0,0.0,11559.0,8847.0,1.0
foul_prob[4],0.493,0.022,0.449,0.536,0.0,0.0,11637.0,8213.0,1.0
foul_prob[5],0.531,0.015,0.502,0.56,0.0,0.0,9654.0,7795.0,1.0
foul_prob[6],0.357,0.019,0.319,0.392,0.0,0.0,10396.0,8553.0,1.0
foul_prob[7],0.351,0.016,0.319,0.381,0.0,0.0,10441.0,9358.0,1.0
foul_prob[8],0.583,0.017,0.548,0.616,0.0,0.0,10613.0,8673.0,1.0
foul_prob[9],0.481,0.027,0.426,0.534,0.0,0.0,10722.0,8838.0,1.0
foul_prob[10],0.374,0.02,0.336,0.415,0.0,0.0,11027.0,9614.0,1.0
foul_prob[11],0.387,0.027,0.336,0.441,0.0,0.0,10413.0,9104.0,1.0
foul_prob[12],0.524,0.019,0.487,0.562,0.0,0.0,10779.0,8053.0,1.0
foul_prob[13],0.336,0.015,0.306,0.364,0.0,0.0,10467.0,8497.0,1.0
foul_prob[14],0.389,0.018,0.353,0.423,0.0,0.0,10390.0,8842.0,1.0
foul_prob[15],0.531,0.028,0.476,0.588,0.0,0.0,10992.0,9099.0,1.0
foul_prob[16],0.446,0.017,0.414,0.479,0.0,0.0,10005.0,8955.0,1.0
foul_prob[17],0.5,0.018,0.465,0.536,0.0,0.0,10884.0,8434.0,1.0
foul_prob[18],0.393,0.021,0.352,0.435,0.0,0.0,10781.0,9165.0,1.0
foul_prob[19],0.507,0.014,0.48,0.533,0.0,0.0,10431.0,8447.0,1.0
foul_prob[20],0.357,0.013,0.332,0.383,0.0,0.0,10623.0,9207.0,1.0
foul_prob[21],0.397,0.014,0.37,0.424,0.0,0.0,10521.0,9165.0,1.0
foul_prob[22],0.306,0.032,0.245,0.37,0.0,0.0,11123.0,8295.0,1.0
foul_prob[23],0.541,0.025,0.493,0.59,0.0,0.0,11091.0,7818.0,1.0
foul_prob[24],0.403,0.026,0.352,0.456,0.0,0.0,10338.0,7867.0,1.0
foul_prob[25],0.313,0.027,0.262,0.368,0.0,0.0,10470.0,8099.0,1.0
foul_prob[26],0.327,0.035,0.258,0.396,0.0,0.0,9681.0,7946.0,1.0
foul_prob[27],0.433,0.017,0.4,0.465,0.0,0.0,11217.0,9234.0,1.0
foul_prob[28],0.471,0.017,0.437,0.503,0.0,0.0,10251.0,8955.0,1.0
foul_prob[29],0.429,0.017,0.396,0.462,0.0,0.0,10781.0,8538.0,1.0
foul_prob[30],0.392,0.022,0.348,0.435,0.0,0.0,10672.0,7820.0,1.0
foul_prob[31],0.347,0.022,0.305,0.392,0.0,0.0,10071.0,8919.0,1.0
foul_prob[32],0.303,0.029,0.243,0.359,0.0,0.0,10488.0,9113.0,1.0
foul_prob[33],0.361,0.028,0.305,0.414,0.0,0.0,11651.0,8879.0,1.0
foul_prob[34],0.463,0.018,0.429,0.497,0.0,0.0,10923.0,8192.0,1.0
foul_prob[35],0.541,0.021,0.5,0.583,0.0,0.0,9917.0,9180.0,1.0
foul_prob[36],0.317,0.019,0.282,0.356,0.0,0.0,11323.0,8588.0,1.0
foul_prob[37],0.416,0.023,0.372,0.463,0.0,0.0,10678.0,7804.0,1.0
foul_prob[38],0.373,0.022,0.33,0.414,0.0,0.0,11652.0,9730.0,1.0
foul_prob[39],0.405,0.012,0.381,0.428,0.0,0.0,11380.0,8852.0,1.0
foul_prob[40],0.416,0.033,0.352,0.481,0.0,0.0,10529.0,8426.0,1.0
foul_prob[41],0.445,0.009,0.427,0.464,0.0,0.0,11265.0,9097.0,1.0
foul_prob[42],0.494,0.012,0.472,0.517,0.0,0.0,10652.0,7811.0,1.0
foul_prob[43],0.347,0.034,0.28,0.412,0.0,0.0,11735.0,9001.0,1.0
foul_prob[44],0.424,0.018,0.385,0.457,0.0,0.0,11810.0,9242.0,1.0
foul_prob[45],0.36,0.022,0.32,0.403,0.0,0.0,11357.0,8361.0,1.0
foul_prob[46],0.574,0.025,0.525,0.622,0.0,0.0,10597.0,8124.0,1.0
foul_prob[47],0.5,0.03,0.442,0.558,0.0,0.0,10924.0,9678.0,1.0
foul_prob[48],0.392,0.017,0.359,0.426,0.0,0.0,10391.0,8759.0,1.0
foul_prob[49],0.595,0.027,0.543,0.649,0.0,0.0,11058.0,8279.0,1.0
foul_prob[50],0.369,0.014,0.341,0.396,0.0,0.0,11409.0,8462.0,1.0
foul_prob[51],0.387,0.017,0.354,0.421,0.0,0.0,10919.0,8661.0,1.0
foul_prob[52],0.378,0.019,0.34,0.416,0.0,0.0,11203.0,8984.0,1.0
foul_prob[53],0.421,0.013,0.394,0.445,0.0,0.0,10932.0,7835.0,1.0
foul_prob[54],0.399,0.025,0.353,0.449,0.0,0.0,10036.0,8999.0,1.0
foul_prob[55],0.43,0.012,0.407,0.453,0.0,0.0,12136.0,8484.0,1.0
foul_prob[56],0.393,0.021,0.353,0.434,0.0,0.0,9841.0,8597.0,1.0
foul_prob[57],0.413,0.018,0.379,0.447,0.0,0.0,11733.0,8045.0,1.0
foul_prob[58],0.311,0.018,0.275,0.346,0.0,0.0,10085.0,8750.0,1.0
foul_prob[59],0.484,0.021,0.444,0.527,0.0,0.0,11216.0,8639.0,1.0
foul_prob[60],0.531,0.011,0.51,0.551,0.0,0.0,10245.0,9593.0,1.0
foul_prob[61],0.451,0.02,0.411,0.49,0.0,0.0,10720.0,8245.0,1.0
foul_prob[62],0.526,0.012,0.503,0.55,0.0,0.0,10492.0,9055.0,1.0
foul_prob[63],0.529,0.015,0.499,0.559,0.0,0.0,10921.0,8334.0,1.0
foul_prob[64],0.502,0.025,0.453,0.548,0.0,0.0,10058.0,8927.0,1.0
foul_prob[65],0.498,0.019,0.461,0.534,0.0,0.0,10356.0,8498.0,1.0
foul_prob[66],0.488,0.015,0.459,0.518,0.0,0.0,10561.0,7767.0,1.0
foul_prob[67],0.408,0.012,0.385,0.431,0.0,0.0,10735.0,9181.0,1.0
foul_prob[68],0.438,0.015,0.407,0.467,0.0,0.0,11619.0,9461.0,1.0
foul_prob[69],0.418,0.017,0.385,0.45,0.0,0.0,11686.0,8629.0,1.0
foul_prob[70],0.428,0.021,0.388,0.47,0.0,0.0,11870.0,9046.0,1.0
foul_prob[71],0.48,0.014,0.453,0.509,0.0,0.0,10470.0,8626.0,1.0
foul_prob[72],0.39,0.015,0.362,0.419,0.0,0.0,11339.0,9413.0,1.0
foul_prob[73],0.631,0.028,0.575,0.684,0.0,0.0,11004.0,7918.0,1.0
foul_prob[74],0.423,0.031,0.366,0.486,0.0,0.0,11152.0,8465.0,1.0
foul_prob[75],0.428,0.015,0.398,0.456,0.0,0.0,10695.0,9674.0,1.0
foul_prob[76],0.622,0.025,0.574,0.671,0.0,0.0,10701.0,7353.0,1.0
foul_prob[77],0.395,0.016,0.363,0.425,0.0,0.0,9706.0,8419.0,1.0
foul_prob[78],0.467,0.01,0.447,0.488,0.0,0.0,10225.0,8865.0,1.0
foul_prob[79],0.359,0.028,0.303,0.413,0.0,0.0,10872.0,9032.0,1.0
foul_prob[80],0.451,0.009,0.434,0.467,0.0,0.0,11594.0,8218.0,1.0
foul_prob[81],0.525,0.013,0.499,0.551,0.0,0.0,11109.0,9375.0,1.0
foul_prob[82],0.403,0.017,0.369,0.436,0.0,0.0,12060.0,8512.0,1.0
foul_prob[83],0.447,0.01,0.427,0.468,0.0,0.0,10802.0,8869.0,1.0
foul_prob[84],0.331,0.029,0.274,0.388,0.0,0.0,10647.0,8773.0,1.0
foul_prob[85],0.561,0.016,0.53,0.593,0.0,0.0,10644.0,8724.0,1.0
foul_prob[86],0.395,0.023,0.353,0.443,0.0,0.0,9948.0,7494.0,1.0
foul_prob[87],0.462,0.02,0.424,0.503,0.0,0.0,11431.0,8124.0,1.0
foul_prob[88],0.381,0.021,0.339,0.422,0.0,0.0,10783.0,9302.0,1.0
foul_prob[89],0.328,0.017,0.295,0.362,0.0,0.0,10910.0,9495.0,1.0
foul_prob[90],0.436,0.021,0.395,0.477,0.0,0.0,10600.0,9412.0,1.0
foul_prob[91],0.402,0.02,0.364,0.442,0.0,0.0,12086.0,8455.0,1.0
foul_prob[92],0.424,0.016,0.392,0.455,0.0,0.0,11686.0,9291.0,1.0
foul_prob[93],0.45,0.024,0.402,0.497,0.0,0.0,11626.0,8185.0,1.0
foul_prob[94],0.403,0.012,0.378,0.426,0.0,0.0,10453.0,8786.0,1.0
foul_prob[95],0.54,0.02,0.5,0.579,0.0,0.0,10248.0,9303.0,1.0
foul_prob[96],0.468,0.017,0.435,0.503,0.0,0.0,11000.0,9154.0,1.0
foul_prob[97],0.501,0.017,0.468,0.532,0.0,0.0,10531.0,8908.0,1.0
foul_prob[98],0.41,0.018,0.373,0.445,0.0,0.0,12083.0,8608.0,1.0
foul_prob[99],0.339,0.02,0.303,0.379,0.0,0.0,10506.0,9230.0,1.0
foul_prob[100],0.42,0.016,0.389,0.453,0.0,0.0,11734.0,8390.0,1.0
foul_prob[101],0.464,0.019,0.425,0.502,0.0,0.0,10512.0,8623.0,1.0
foul_prob[102],0.484,0.026,0.434,0.534,0.0,0.0,10191.0,7954.0,1.0
foul_prob[103],0.467,0.021,0.426,0.509,0.0,0.0,11118.0,8954.0,1.0
foul_prob[104],0.452,0.018,0.419,0.488,0.0,0.0,10635.0,8973.0,1.0
foul_prob[105],0.477,0.02,0.439,0.518,0.0,0.0,11518.0,9608.0,1.0
foul_prob[106],0.599,0.02,0.558,0.636,0.0,0.0,10777.0,7784.0,1.0
foul_prob[107],0.412,0.022,0.371,0.457,0.0,0.0,12042.0,8434.0,1.0
foul_prob[108],0.446,0.017,0.414,0.48,0.0,0.0,11416.0,8472.0,1.0
foul_prob[109],0.521,0.01,0.501,0.541,0.0,0.0,11332.0,7951.0,1.0
foul_prob[110],0.507,0.017,0.473,0.54,0.0,0.0,9918.0,8072.0,1.0
foul_prob[111],0.416,0.017,0.383,0.449,0.0,0.0,10351.0,8707.0,1.0
foul_prob[112],0.458,0.011,0.437,0.479,0.0,0.0,10625.0,7637.0,1.0
foul_prob[113],0.419,0.017,0.386,0.451,0.0,0.0,10669.0,8827.0,1.0
foul_prob[114],0.42,0.012,0.395,0.444,0.0,0.0,11389.0,8894.0,1.0
foul_prob[115],0.407,0.017,0.375,0.443,0.0,0.0,11650.0,9423.0,1.0
foul_prob[116],0.421,0.014,0.394,0.45,0.0,0.0,10745.0,8706.0,1.0
foul_prob[117],0.36,0.024,0.315,0.408,0.0,0.0,10424.0,8993.0,1.0
foul_prob[118],0.393,0.022,0.349,0.433,0.0,0.0,11470.0,8784.0,1.0
foul_prob[119],0.476,0.008,0.46,0.492,0.0,0.0,10779.0,9180.0,1.0
foul_prob[120],0.505,0.011,0.484,0.527,0.0,0.0,10824.0,7810.0,1.0
foul_prob[121],0.439,0.016,0.409,0.471,0.0,0.0,12309.0,8781.0,1.0
foul_prob[122],0.422,0.019,0.383,0.458,0.0,0.0,9759.0,7180.0,1.0
foul_prob[123],0.478,0.03,0.417,0.534,0.0,0.0,10632.0,9020.0,1.0
foul_prob[124],0.362,0.018,0.329,0.397,0.0,0.0,10612.0,8869.0,1.0
foul_prob[125],0.509,0.02,0.469,0.549,0.0,0.0,11301.0,9296.0,1.0
foul_prob[126],0.437,0.013,0.412,0.464,0.0,0.0,10234.0,9088.0,1.0
foul_prob[127],0.347,0.025,0.298,0.398,0.0,0.0,10795.0,8526.0,1.0
foul_prob[128],0.425,0.012,0.4,0.448,0.0,0.0,11044.0,8023.0,1.0
foul_prob[129],0.464,0.017,0.431,0.497,0.0,0.0,10886.0,9307.0,1.0
foul_prob[130],0.477,0.017,0.443,0.51,0.0,0.0,11687.0,9238.0,1.0
foul_prob[131],0.467,0.024,0.421,0.513,0.0,0.0,10942.0,9846.0,1.0
foul_prob[132],0.49,0.024,0.442,0.537,0.0,0.0,11624.0,8571.0,1.0
foul_prob[133],0.538,0.015,0.51,0.569,0.0,0.0,9943.0,9028.0,1.0
foul_prob[134],0.407,0.016,0.375,0.437,0.0,0.0,11162.0,8532.0,1.0
foul_prob[135],0.433,0.021,0.393,0.474,0.0,0.0,11684.0,9018.0,1.0
foul_prob[136],0.535,0.016,0.503,0.567,0.0,0.0,10546.0,7982.0,1.0
foul_prob[137],0.521,0.021,0.479,0.562,0.0,0.0,10646.0,8304.0,1.0
foul_prob[138],0.396,0.023,0.351,0.441,0.0,0.0,10805.0,9419.0,1.0
foul_prob[139],0.311,0.021,0.271,0.352,0.0,0.0,11061.0,8224.0,1.0
foul_prob[140],0.506,0.028,0.448,0.558,0.0,0.0,10763.0,8959.0,1.0
foul_prob[141],0.45,0.03,0.39,0.508,0.0,0.0,11567.0,9654.0,1.0
foul_prob[142],0.41,0.02,0.373,0.45,0.0,0.0,11419.0,8321.0,1.0
foul_prob[143],0.367,0.025,0.317,0.414,0.0,0.0,11009.0,8884.0,1.0
foul_prob[144],0.463,0.024,0.417,0.512,0.0,0.0,11413.0,8962.0,1.0
foul_prob[145],0.434,0.021,0.392,0.474,0.0,0.0,10187.0,7711.0,1.0
foul_prob[146],0.438,0.017,0.404,0.472,0.0,0.0,10763.0,9655.0,1.0
foul_prob[147],0.456,0.014,0.427,0.482,0.0,0.0,10836.0,8935.0,1.0
foul_prob[148],0.451,0.028,0.398,0.507,0.0,0.0,9593.0,7959.0,1.0
foul_prob[149],0.396,0.023,0.353,0.444,0.0,0.0,11272.0,8412.0,1.0
foul_prob[150],0.35,0.018,0.314,0.385,0.0,0.0,10555.0,8585.0,1.0
foul_prob[151],0.46,0.02,0.42,0.498,0.0,0.0,11339.0,8251.0,1.0
foul_prob[152],0.54,0.026,0.489,0.591,0.0,0.0,10409.0,8059.0,1.0
foul_prob[153],0.431,0.024,0.383,0.478,0.0,0.0,11155.0,8692.0,1.0
foul_prob[154],0.417,0.008,0.401,0.432,0.0,0.0,11233.0,8802.0,1.0
foul_prob[155],0.433,0.013,0.408,0.46,0.0,0.0,11150.0,7894.0,1.0
foul_prob[156],0.336,0.025,0.285,0.383,0.0,0.0,10499.0,9526.0,1.0
foul_prob[157],0.444,0.019,0.407,0.48,0.0,0.0,10484.0,7659.0,1.0
foul_prob[158],0.407,0.018,0.372,0.443,0.0,0.0,10458.0,8568.0,1.0
foul_prob[159],0.572,0.021,0.531,0.614,0.0,0.0,10758.0,7807.0,1.0
foul_prob[160],0.568,0.016,0.537,0.597,0.0,0.0,9922.0,8894.0,1.0
foul_prob[161],0.495,0.026,0.444,0.546,0.0,0.0,10290.0,9420.0,1.0
foul_prob[162],0.41,0.024,0.364,0.457,0.0,0.0,10600.0,8894.0,1.0
foul_prob[163],0.452,0.027,0.4,0.505,0.0,0.0,10620.0,7232.0,1.0
foul_prob[164],0.37,0.016,0.339,0.4,0.0,0.0,11433.0,9306.0,1.0
foul_prob[165],0.419,0.016,0.388,0.451,0.0,0.0,11731.0,9034.0,1.0
foul_prob[166],0.336,0.035,0.268,0.404,0.0,0.0,10803.0,9429.0,1.0
foul_prob[167],0.4,0.032,0.339,0.464,0.0,0.0,11336.0,8969.0,1.0
foul_prob[168],0.347,0.021,0.307,0.387,0.0,0.0,10265.0,9132.0,1.0
foul_prob[169],0.509,0.011,0.487,0.532,0.0,0.0,10981.0,8347.0,1.0
foul_prob[170],0.47,0.025,0.423,0.519,0.0,0.0,10654.0,7149.0,1.0
foul_prob[171],0.462,0.014,0.435,0.492,0.0,0.0,11607.0,9180.0,1.0
foul_prob[172],0.388,0.019,0.353,0.427,0.0,0.0,11604.0,8636.0,1.0
foul_prob[173],0.53,0.015,0.501,0.561,0.0,0.0,10770.0,8144.0,1.0
foul_prob[174],0.432,0.019,0.395,0.47,0.0,0.0,11249.0,8664.0,1.0
foul_prob[175],0.385,0.017,0.352,0.419,0.0,0.0,11263.0,8695.0,1.0
foul_prob[176],0.412,0.018,0.377,0.448,0.0,0.0,10501.0,9146.0,1.0
foul_prob[177],0.405,0.015,0.375,0.434,0.0,0.0,11621.0,9225.0,1.0
foul_prob[178],0.484,0.01,0.464,0.505,0.0,0.0,10883.0,9398.0,1.0
foul_prob[179],0.36,0.03,0.301,0.416,0.0,0.0,10180.0,7312.0,1.0
foul_prob[180],0.456,0.01,0.436,0.476,0.0,0.0,10589.0,9308.0,1.0
foul_prob[181],0.393,0.013,0.368,0.418,0.0,0.0,10911.0,8072.0,1.0
foul_prob[182],0.495,0.015,0.464,0.524,0.0,0.0,11009.0,9071.0,1.0
foul_prob[183],0.466,0.01,0.446,0.486,0.0,0.0,10509.0,9163.0,1.0
foul_prob[184],0.463,0.019,0.427,0.501,0.0,0.0,11216.0,8843.0,1.0
foul_prob[185],0.471,0.02,0.432,0.509,0.0,0.0,10691.0,8091.0,1.0
foul_prob[186],0.635,0.048,0.54,0.73,0.0,0.0,10403.0,8973.0,1.0
foul_prob[187],0.459,0.008,0.444,0.474,0.0,0.0,10579.0,9033.0,1.0
foul_prob[188],0.426,0.012,0.402,0.449,0.0,0.0,11495.0,8607.0,1.0
foul_prob[189],0.391,0.026,0.341,0.441,0.0,0.0,10310.0,9453.0,1.0
foul_prob[190],0.373,0.024,0.325,0.418,0.0,0.0,10143.0,7611.0,1.0
foul_prob[191],0.387,0.015,0.358,0.417,0.0,0.0,11200.0,8758.0,1.0
foul_prob[192],0.467,0.027,0.413,0.518,0.0,0.0,11209.0,8087.0,1.0
foul_prob[193],0.387,0.02,0.348,0.426,0.0,0.0,10917.0,8601.0,1.0
foul_prob[194],0.472,0.016,0.44,0.504,0.0,0.0,11020.0,9035.0,1.0
foul_prob[195],0.621,0.05,0.525,0.717,0.0,0.0,10201.0,8093.0,1.0
foul_prob[196],0.546,0.029,0.487,0.6,0.0,0.0,10420.0,8863.0,1.0
foul_prob[197],0.422,0.012,0.399,0.446,0.0,0.0,11086.0,8718.0,1.0
foul_prob[198],0.453,0.014,0.425,0.48,0.0,0.0,11084.0,8255.0,1.0
foul_prob[199],0.445,0.015,0.415,0.473,0.0,0.0,10637.0,8197.0,1.0
foul_prob[200],0.355,0.017,0.322,0.389,0.0,0.0,10826.0,9314.0,1.0
foul_prob[201],0.645,0.035,0.575,0.712,0.0,0.0,11078.0,8728.0,1.0
foul_prob[202],0.516,0.021,0.477,0.559,0.0,0.0,11905.0,8445.0,1.0
foul_prob[203],0.378,0.017,0.346,0.414,0.0,0.0,10306.0,9456.0,1.0
foul_prob[204],0.43,0.024,0.383,0.477,0.0,0.0,10445.0,9539.0,1.0
foul_prob[205],0.402,0.015,0.372,0.432,0.0,0.0,10879.0,8782.0,1.0
foul_prob[206],0.447,0.009,0.43,0.464,0.0,0.0,10942.0,8321.0,1.0
foul_prob[207],0.397,0.013,0.372,0.423,0.0,0.0,10948.0,9013.0,1.0
foul_prob[208],0.342,0.015,0.313,0.371,0.0,0.0,10470.0,8815.0,1.0
foul_prob[209],0.43,0.02,0.392,0.47,0.0,0.0,11409.0,8901.0,1.0
foul_prob[210],0.5,0.015,0.47,0.528,0.0,0.0,10551.0,8256.0,1.0
foul_prob[211],0.413,0.015,0.385,0.442,0.0,0.0,11252.0,8800.0,1.0
foul_prob[212],0.453,0.02,0.415,0.492,0.0,0.0,12564.0,8799.0,1.0
foul_prob[213],0.518,0.014,0.49,0.545,0.0,0.0,10382.0,8565.0,1.0
foul_prob[214],0.497,0.011,0.475,0.519,0.0,0.0,10570.0,7401.0,1.0
foul_prob[215],0.433,0.015,0.405,0.463,0.0,0.0,10499.0,8128.0,1.0
foul_prob[216],0.454,0.017,0.42,0.488,0.0,0.0,11694.0,9084.0,1.0
foul_prob[217],0.431,0.015,0.403,0.461,0.0,0.0,11137.0,8677.0,1.0
foul_prob[218],0.452,0.033,0.391,0.517,0.0,0.0,10583.0,9460.0,1.0
foul_prob[219],0.433,0.014,0.407,0.46,0.0,0.0,10535.0,9173.0,1.0
foul_prob[220],0.462,0.032,0.4,0.524,0.0,0.0,10741.0,8563.0,1.0
foul_prob[221],0.431,0.015,0.402,0.462,0.0,0.0,11606.0,9418.0,1.0
foul_prob[222],0.455,0.031,0.393,0.513,0.0,0.0,11135.0,8607.0,1.0
foul_prob[223],0.457,0.022,0.413,0.499,0.0,0.0,10474.0,8680.0,1.0
foul_prob[224],0.502,0.015,0.473,0.531,0.0,0.0,9781.0,9238.0,1.0
foul_prob[225],0.349,0.02,0.311,0.39,0.0,0.0,11084.0,9352.0,1.0
foul_prob[226],0.469,0.019,0.431,0.506,0.0,0.0,10895.0,7989.0,1.0
foul_prob[227],0.442,0.029,0.386,0.498,0.0,0.0,12366.0,8718.0,1.0
foul_prob[228],0.47,0.017,0.437,0.504,0.0,0.0,10785.0,7975.0,1.0
foul_prob[229],0.555,0.027,0.505,0.612,0.0,0.0,10985.0,8857.0,1.0
foul_prob[230],0.373,0.026,0.323,0.426,0.0,0.0,9505.0,8384.0,1.0
foul_prob[231],0.405,0.012,0.381,0.43,0.0,0.0,10721.0,8989.0,1.0
foul_prob[232],0.574,0.027,0.521,0.628,0.0,0.0,11229.0,9180.0,1.0
foul_prob[233],0.319,0.021,0.279,0.36,0.0,0.0,10516.0,8061.0,1.0
foul_prob[234],0.45,0.018,0.413,0.485,0.0,0.0,11814.0,9064.0,1.0
foul_prob[235],0.454,0.022,0.413,0.497,0.0,0.0,11814.0,8912.0,1.0
foul_prob[236],0.411,0.022,0.369,0.455,0.0,0.0,10042.0,7166.0,1.0
foul_prob[237],0.383,0.026,0.332,0.432,0.0,0.0,10289.0,7787.0,1.0
foul_prob[238],0.485,0.031,0.424,0.546,0.0,0.0,11178.0,9452.0,1.0
foul_prob[239],0.405,0.016,0.373,0.435,0.0,0.0,11506.0,9034.0,1.0
foul_prob[240],0.452,0.014,0.424,0.48,0.0,0.0,11410.0,8436.0,1.0
foul_prob[241],0.391,0.019,0.353,0.428,0.0,0.0,11461.0,8670.0,1.0
foul_prob[242],0.351,0.028,0.296,0.406,0.0,0.0,10673.0,9116.0,1.0
foul_prob[243],0.372,0.019,0.334,0.407,0.0,0.0,10444.0,8283.0,1.0
foul_prob[244],0.54,0.017,0.505,0.573,0.0,0.0,10884.0,8363.0,1.0
foul_prob[245],0.352,0.018,0.317,0.388,0.0,0.0,11331.0,8829.0,1.0
foul_prob[246],0.45,0.016,0.419,0.481,0.0,0.0,10993.0,9057.0,1.0
foul_prob[247],0.419,0.016,0.387,0.45,0.0,0.0,10631.0,8603.0,1.0
foul_prob[248],0.353,0.025,0.303,0.4,0.0,0.0,10207.0,8882.0,1.0
foul_prob[249],0.475,0.024,0.428,0.521,0.0,0.0,10589.0,8611.0,1.0
foul_prob[250],0.358,0.012,0.334,0.382,0.0,0.0,10363.0,8680.0,1.0
foul_prob[251],0.318,0.024,0.271,0.363,0.0,0.0,10405.0,7598.0,1.0
foul_prob[252],0.402,0.023,0.359,0.447,0.0,0.0,10545.0,9175.0,1.0
foul_prob[253],0.373,0.016,0.343,0.403,0.0,0.0,10337.0,9527.0,1.0
foul_prob[254],0.355,0.013,0.328,0.381,0.0,0.0,10300.0,9269.0,1.0
foul_prob[255],0.381,0.014,0.353,0.406,0.0,0.0,11753.0,8680.0,1.0
foul_prob[256],0.396,0.022,0.355,0.44,0.0,0.0,10326.0,8395.0,1.0
foul_prob[257],0.438,0.048,0.347,0.534,0.0,0.0,9936.0,8482.0,1.0
foul_prob[258],0.43,0.021,0.388,0.47,0.0,0.0,10847.0,8445.0,1.0
foul_prob[259],0.391,0.014,0.363,0.419,0.0,0.0,11153.0,8987.0,1.0
foul_prob[260],0.386,0.014,0.359,0.414,0.0,0.0,11090.0,9238.0,1.0
foul_prob[261],0.399,0.016,0.369,0.431,0.0,0.0,10737.0,9028.0,1.0
foul_prob[262],0.355,0.027,0.303,0.409,0.0,0.0,10650.0,8912.0,1.0
foul_prob[263],0.365,0.019,0.328,0.403,0.0,0.0,10415.0,9310.0,1.0
foul_prob[264],0.556,0.025,0.506,0.602,0.0,0.0,10373.0,7995.0,1.0
foul_prob[265],0.581,0.018,0.546,0.616,0.0,0.0,10992.0,6902.0,1.0
foul_prob[266],0.5,0.022,0.457,0.545,0.0,0.0,10625.0,9309.0,1.0
foul_prob[267],0.35,0.023,0.307,0.396,0.0,0.0,10436.0,9424.0,1.0
foul_prob[268],0.335,0.018,0.301,0.371,0.0,0.0,10416.0,9863.0,1.0
foul_prob[269],0.346,0.021,0.306,0.387,0.0,0.0,10043.0,8639.0,1.0
foul_prob[270],0.393,0.016,0.361,0.423,0.0,0.0,10743.0,9058.0,1.0
foul_prob[271],0.508,0.021,0.465,0.548,0.0,0.0,10878.0,9571.0,1.0
foul_prob[272],0.501,0.017,0.468,0.534,0.0,0.0,10255.0,7501.0,1.0
foul_prob[273],0.391,0.031,0.333,0.453,0.0,0.0,12000.0,8509.0,1.0
foul_prob[274],0.419,0.019,0.381,0.457,0.0,0.0,11383.0,8928.0,1.0
foul_prob[275],0.411,0.017,0.378,0.444,0.0,0.0,11669.0,8519.0,1.0
foul_prob[276],0.393,0.014,0.367,0.42,0.0,0.0,11191.0,8741.0,1.0
foul_prob[277],0.45,0.011,0.429,0.471,0.0,0.0,10767.0,8994.0,1.0
foul_prob[278],0.343,0.017,0.311,0.377,0.0,0.0,10503.0,8503.0,1.0
foul_prob[279],0.407,0.017,0.372,0.44,0.0,0.0,9797.0,8880.0,1.0
foul_prob[280],0.417,0.029,0.36,0.473,0.0,0.0,10029.0,7556.0,1.0
foul_prob[281],0.422,0.026,0.373,0.474,0.0,0.0,11137.0,9210.0,1.0
foul_prob[282],0.426,0.023,0.381,0.471,0.0,0.0,11283.0,8724.0,1.0
foul_prob[283],0.385,0.018,0.352,0.421,0.0,0.0,11285.0,8697.0,1.0
foul_prob[284],0.305,0.026,0.254,0.358,0.0,0.0,10154.0,9153.0,1.0
foul_prob[285],0.351,0.024,0.306,0.398,0.0,0.0,11055.0,8675.0,1.0
foul_prob[286],0.354,0.015,0.325,0.385,0.0,0.0,11014.0,9154.0,1.0
foul_prob[287],0.439,0.018,0.405,0.474,0.0,0.0,11831.0,7864.0,1.0
foul_prob[288],0.441,0.01,0.422,0.462,0.0,0.0,11031.0,8801.0,1.0
foul_prob[289],0.416,0.016,0.386,0.447,0.0,0.0,10401.0,8330.0,1.0
