,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[2447],0.595,0.023,0.552,0.642,0.0,0.0,8180.0,5043.0,1.0
foul_prob[2448],0.35,0.015,0.322,0.379,0.0,0.0,7773.0,5411.0,1.0
foul_prob[2449],0.398,0.022,0.356,0.442,0.0,0.0,8251.0,4976.0,1.0
foul_prob[2450],0.501,0.017,0.466,0.532,0.0,0.0,9081.0,5009.0,1.0
foul_prob[2451],0.462,0.019,0.425,0.5,0.0,0.0,8839.0,4674.0,1.0
foul_prob[2452],0.431,0.015,0.402,0.462,0.0,0.0,6768.0,5311.0,1.0
foul_prob[2453],0.518,0.018,0.484,0.552,0.0,0.0,8696.0,4864.0,1.0
foul_prob[2454],0.385,0.011,0.364,0.407,0.0,0.0,7542.0,5289.0,1.0
foul_prob[2455],0.57,0.017,0.537,0.603,0.0,0.0,8839.0,4933.0,1.0
foul_prob[2456],0.46,0.022,0.418,0.503,0.0,0.0,8193.0,4460.0,1.0
foul_prob[2457],0.345,0.019,0.306,0.38,0.0,0.0,7841.0,5098.0,1.0
foul_prob[2458],0.385,0.017,0.351,0.416,0.0,0.0,8372.0,5292.0,1.0
foul_prob[2459],0.486,0.016,0.455,0.516,0.0,0.0,8101.0,5412.0,1.0
foul_prob[2460],0.33,0.016,0.3,0.362,0.0,0.0,7885.0,5239.0,1.0
foul_prob[2461],0.49,0.019,0.454,0.527,0.0,0.0,8133.0,5340.0,1.0
foul_prob[2462],0.487,0.019,0.45,0.524,0.0,0.0,8076.0,5490.0,1.0
foul_prob[2463],0.418,0.018,0.385,0.454,0.0,0.0,8425.0,4907.0,1.0
foul_prob[2464],0.573,0.03,0.517,0.635,0.0,0.0,8841.0,5052.0,1.0
foul_prob[2465],0.392,0.016,0.358,0.422,0.0,0.0,7602.0,4883.0,1.0
foul_prob[2466],0.598,0.013,0.572,0.624,0.0,0.0,7981.0,5464.0,1.0
foul_prob[2467],0.422,0.024,0.374,0.468,0.0,0.0,8182.0,5026.0,1.0
foul_prob[2468],0.429,0.013,0.405,0.455,0.0,0.0,8258.0,5302.0,1.0
foul_prob[2469],0.331,0.017,0.302,0.367,0.0,0.0,7422.0,5472.0,1.0
foul_prob[2470],0.473,0.018,0.439,0.507,0.0,0.0,6938.0,5150.0,1.0
foul_prob[2471],0.537,0.017,0.502,0.57,0.0,0.0,8325.0,5578.0,1.0
foul_prob[2472],0.434,0.011,0.413,0.455,0.0,0.0,8263.0,5335.0,1.0
foul_prob[2473],0.497,0.019,0.459,0.533,0.0,0.0,8299.0,5116.0,1.0
foul_prob[2474],0.319,0.018,0.284,0.353,0.0,0.0,7496.0,5404.0,1.0
foul_prob[2475],0.368,0.025,0.321,0.417,0.0,0.0,8605.0,5387.0,1.0
foul_prob[2476],0.372,0.016,0.341,0.401,0.0,0.0,7210.0,5258.0,1.0
foul_prob[2477],0.381,0.012,0.358,0.405,0.0,0.0,7033.0,5058.0,1.0
foul_prob[2478],0.37,0.018,0.335,0.407,0.0,0.0,7729.0,5562.0,1.0
foul_prob[2479],0.485,0.017,0.451,0.516,0.0,0.0,8292.0,4844.0,1.0
foul_prob[2480],0.414,0.014,0.386,0.44,0.0,0.0,8153.0,5373.0,1.0
foul_prob[2481],0.273,0.017,0.242,0.306,0.0,0.0,7020.0,4873.0,1.0
foul_prob[2482],0.571,0.024,0.524,0.618,0.0,0.0,8159.0,4749.0,1.0
foul_prob[2483],0.44,0.017,0.408,0.473,0.0,0.0,7802.0,4794.0,1.0
foul_prob[2484],0.484,0.013,0.46,0.51,0.0,0.0,8382.0,5775.0,1.0
foul_prob[2485],0.383,0.017,0.35,0.416,0.0,0.0,8081.0,5409.0,1.0
foul_prob[2486],0.361,0.016,0.329,0.391,0.0,0.0,7881.0,5135.0,1.0
foul_prob[2487],0.391,0.018,0.355,0.424,0.0,0.0,7739.0,5239.0,1.0
foul_prob[2488],0.358,0.017,0.327,0.392,0.0,0.0,7553.0,5229.0,1.0
